States,Latitude,Longitude,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,30.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,10.04.2020,11.04.2020,12.04.2020,13.04.2020,14.04.2020,15.04.2020,16.04.2020,17.04.2020,18.04.2020,19.04.2020,20.04.2020,21.04.2020,22.04.2020,23.04.2020,24.04.2020,25.04.2020,26.04.2020,27.04.2020,28.04.2020,29.04.2020,30.04.2020,01.05.2020,02.05.2020,03.05.2020,04.05.2020,05.05.2020,06.05.2020,07.05.2020,08.05.2020,09.05.2020,10.05.2020,11.05.2020,12.05.2020
Andaman and Nicobar Islands,11.66702557,92.73598262,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,15,15,16,16,16,32,32,32,32,33,33,33,33,33
Andhra Pradesh,14.7504291,78.57002559,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,5,6,7,11,11,11,14,16,20,36,42,42,92,96,120,141,145,171,231,235,258,287,321,403,441,441,524,589,589,729,780,842,887,925,975
Arunachal Pradesh,27.10039878,93.61660071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,26.7499809,94.21666744,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,12,17,19,19,19,19,19,19,27,27,27,29,29,32,32,32,32,32,32,34,34,34,34,34
Bihar,25.78541445,87.4799727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,26,29,29,37,37,37,42,42,46,46,46,46,46,56,57,64,65,82,98,107,125,130,142,188,246,297,322,365,377
Chandigarh,30.71999697,76.78000565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,9,9,10,13,13,14,14,14,15,17,17,17,17,17,17,17,17,19,21,21,21,21,21,24,24,24
Chhattisgarh,22.09042035,82.15998734,0,0,0,0,0,0,0,0,2,2,2,3,3,8,9,9,9,9,9,10,10,10,13,17,23,24,24,25,25,26,28,28,30,32,32,32,34,36,36,36,36,36,36,36,36,38,38,43,49,53
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,28.6699929,77.23000403,5,5,6,6,6,6,6,6,6,6,8,15,18,19,21,21,21,25,25,25,27,30,30,42,51,72,72,290,431,611,724,808,857,869,877,877,1078,1092,1094,1167,1256,1362,1431,1468,1542,1931,2020,2020,2069,2129
Goa,15.491997,73.81800065,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Haryana,28.45000633,77.01999101,0,11,11,11,11,11,12,18,21,21,21,24,25,25,25,28,29,29,29,29,29,34,34,43,43,43,87,87,127,127,140,156,156,176,176,183,209,209,209,227,227,245,254,256,260,260,279,290,300,337
Himachal Pradesh,31.10002545,77.16659704,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,6,6,6,13,13,13,16,16,16,16,16,16,16,18,18,18,22,22,22,25,25,28,30,33,34,38,38,38,38,38,38,39,39
Jammu and Kashmir,34.29995933,74.46665849,0,0,0,1,1,1,1,2,2,2,3,3,4,4,4,4,4,6,6,6,6,16,30,36,38,42,51,56,71,81,92,92,109,112,137,164,176,192,216,247,254,287,303,320,322,335,364,368,383,427
Jharkhand,23.80039349,86.41998572,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,8,9,13,13,17,19,19,20,20,22,22,27,33,37,41,52,78,78,78
